[1]罗云萍,王威. miR#100抑制剂在降低癌症转移中的用途[P]. 北京：CN106244679A,2016-12-21.
[163]杜宝珠,蔡乐靖,钱飞箭,卢灵潇,丁志远,陈帼婧,陈贤丰. 一种基于Ion Torrent测序平台的乳腺癌基因BRCA的DNA文库构建方法[P]. 浙江：CN105696089A,2016-06-22.

[164]藤冈知昭,中村佑辅,角田卓也,大泽龙司,志田绿. 用于表达MPHOSPH1或DEPDC1多肽的癌症的肽疫苗[P]. 日本：CN105693843A,2016-06-22.

[165]杨利英,曹阳,袁细国,张军英. 一种利用miRNA表达数据发现癌症相关基因的方法[P]. 陕西：CN105701365A,2016-06-22.

[166]何小丹,刘晨,郝军凤. 小鼠抗人HER-2单克隆抗体及分泌该单克隆抗体的杂交瘤细胞株[P]. 天津：CN105647874A,2016-06-08.

[167]卡洛琳·希克斯,约翰·辛登,拉腊·斯泰瓦纳托,伦道夫·考特林. 干细胞微粒和miRNA[P]. 英国：CN105658789A,2016-06-08.

[168]J·阿桑迪,R·法尔斯坦,P·波拉基斯,阪中千惠,P·常,R·T·韦努克. 抗Ly6E抗体及使用方法[P]. 美国：CN105658237A,2016-06-08.

[169]张宗德,张春,蓝文俊,刘晓玫,潘丽萍. 稳定分泌近红外荧光标记外泌体的乳腺癌细胞株的制备[P]. 北京：CN105624192A,2016-06-01.

[170]V·史密斯,S·奥格,P·范瓦拉西拉,V·E·巴里,D·马歇尔,A·K·霍尔泽,H·罗德里格斯,大保三穗,S·A·麦克考雷,C·A·加西亚,D·H·T·柏曼. LOX和LOXL2抑制剂及其应用[P]. 美国：CN105622756A,2016-06-01.

[171]金谛,宋刚. 乳腺癌检测仪[P]. 四川：CN303693086S,2016-06-01.

[172]S·T·纳罗奇,J·S·卡鲁. 治疗癌症的基于噻吨酮的自噬抑制剂疗法[P]. 美国：CN105616402A,2016-06-01.

[173]角田卓也,大泽龙司,吉村祥子,渡边朝久,中村佑辅,古川洋一. NEIL3肽及包含它的疫苗[P]. 日本：CN105601725A,2016-05-25.

[174]中村佑辅,角田卓也,大泽龙司,吉村祥子,渡边朝久. HJURP肽及包含它们的疫苗[P]. 日本：CN105601727A,2016-05-25.

[175]阿米尔·托波里克,阿米特·诺维克,罗南·谢梅什. 多肽和多核苷酸及其用于治疗免疫相关失调和癌症的用途[P]. 以色列：CN105601741A,2016-05-25.

[176]孙萍,李胜,仇红,王振丹. 晚期乳腺癌患者外周血循环肿瘤细胞PR基因的检测方法[P]. 山东：CN105606823A,2016-05-25.

[177]高杰,庞恺,李胜,孙萍,王振丹. 晚期乳腺癌患者外周血循环肿瘤细胞Her-2基因的检测方法[P]. 山东：CN105606824A,2016-05-25.

[178]贺智敏,张志杰,罗凯,邓印根,郑国沛,谷依学,尹江,邱霓. SRGN基因作为检测三阴性乳腺癌血清标志物的应用[P]. 广东：CN105586430A,2016-05-18.

[179]A·H·林,H·E·格鲁伯,C·伊巴涅斯,D·J·约利. 具有优化的A凸出物的重组载体[P]. 美国：CN105579581A,2016-05-11.

[180]M.奥伦,V.罗特,P.塔. 能够再活化p53突变体的肽[P]. 以色列：CN105579464A,2016-05-11.

[181]喻德华,王蓓. 检测乳腺癌HER2基因的纳米量子点标记分子探针及其制备方法[P]. 广东：CN105543395A,2016-05-04.

[182]R·K·埃尔斯,S·A·巴特勒. CGB2和CGB1基因；癌症的诊断、监测和治疗[P]. 英国：CN105555967A,2016-05-04.

[183]S.C.本斯,C.塞托. PARADIGM药物响应网络[P]. 美国：CN105556523A,2016-05-04.

[184]苏达·拉奥,安朱马·扎法尔. 用于调控癌症干细胞的方法和组合物[P]. 澳大利亚：CN105555365A,2016-05-04.

[185]洪旭涛,祁鸣. 检测杂合性BRCA1/2基因缺失的方法及所用引物[P]. 浙江：CN105525009A,2016-04-27.

[186]陈绍宇,何瑰,席影. HER-2基因和/或TOP2A基因检测探针及其制备方法和试剂盒[P]. 广东：CN105524990A,2016-04-27.

[187]王深明,林颖,张德元,周鸿雁,邵楠. 一种功能化纳米配合物基因导入材料及其制备方法和应用[P]. 广东：CN105505962A,2016-04-20.

[188]M.迪恩,A.A.阿利扎德,A.M.纽曼,S.V.布拉特曼. 循环核酸肿瘤标志物的鉴别和用途[P]. 美国：CN105518151A,2016-04-20.

[189]孙萍,戴亮,李胜,王振丹. 晚期乳腺癌患者外周血循环肿瘤细胞ER基因的检测方法[P]. 山东：CN105510600A,2016-04-20.

[190]菲利普·贝克霍夫,迈克尔·布特罗,尼实·克汗代勒沃尔,马可·布赖尼格. 细胞毒性T细胞应答调节物[P]. 德国：CN105517542A,2016-04-20.

[191]贺智敏,郑国沛,张志杰,贾小亭. TGFβ2基因、TGFβ2多肽及它们的应用[P]. 广东：CN105483134A,2016-04-13.

[192]高勇,任小梅,宁召锋. 乳腺癌的诊断标记物[P]. 山东：CN105483254A,2016-04-13.

[193]利萨·帕特尔,斯蒂芬·艾伦·史密斯,艾恩·罗伯特·格雷格,塞缪尔·卡梅伦·威廉斯. N-(4-羟基-4-甲基-环己基)-4-苯基-苯磺酰胺和N-(4-羟基-4-甲基-环己基)-4-(2-吡啶基)苯磺酰胺和其治疗性用途[P]. 英国：CN105492426A,2016-04-13.

[194]R·古德诺,P·奥登特里科. 癌症治疗方法[P]. 美国：CN105492007A,2016-04-13.

[195]拉尔夫·维尔茨,克里斯托弗·内普. 用于肿瘤分子亚型分型的方法和试剂盒[P]. 德国：CN105473735A,2016-04-06.

[196]安德里斯·巴德,简·赵. miR-34活性的生物标志物[P]. 美国：CN105473742A,2016-04-06.

[197]刘久美,慕强,王翠平. 一种可用于制备抗乳腺癌药物的化合物及其制备方法、用途[P]. 山东：CN105461700A,2016-04-06.

[198]张健,张媛,李梦阳,陈苏宁. 一种与他莫昔芬耐药性相关的microRNA分子MiR-141及其应用[P]. 陕西：CN105441449A,2016-03-30.

[199]D·哈尔伯特,V·多门尤克,D·斯佩兹勒,T·霍尔农,F·沙弗,N·萧. 适体及其用途[P]. 瑞士：CN105452466A,2016-03-30.

[200]帕卡什·吉尔,刘韧. 使用结合细胞表面GRP78的抗体进行癌症治疗[P]. 美国：CN105452292A,2016-03-30.

[201]伊里·纽齐尔,J·什图尔萨,L·维尔纳. 用于治疗肿瘤性疾病尤其具有高HER2蛋白水平的肿瘤性疾病的他莫昔芬衍生物[P]. 捷克：CN105452265A,2016-03-30.

[202]V·罗施科,D·拉弗勒,D·M·希尔博尔特,P·基内尔. 多价和单价多特异性复合物及其用途[P]. 美国：CN105451767A,2016-03-30.

[203]帕特里克·鲍姆霍夫. 增加RNA编码蛋白表达的方法[P]. 德国：CN105451779A,2016-03-30.

[204]张济,杜艳芝,王海伟. 三氧化二砷的抗肿瘤新用途及抗肿瘤制剂[P]. 上海：CN105435228A,2016-03-30.

[205]王秀娟,周艳琳,段卫涛,赵平锋. 检测BRCA1基因表达的引物、探针及试剂盒[P]. 湖北：CN105420393A,2016-03-23.

[206]R·戈米斯,A·阿诺尔,M·塔拉戈纳,M·帕夫罗维奇,E·普拉尼特. 用于癌转移的诊断、预后和治疗的方法[P]. 西班牙：CN105431548A,2016-03-23.

[207]葛莉. 乳腺癌术后防止复发的护理用中药组合物及其制备方法[P]. 山东：CN105412500A,2016-03-23.

[208]王秀娟,梁惠,段卫涛,赵平锋. 荧光定量PCR法检测TOP2A基因表达的引物、探针及试剂盒[P]. 湖北：CN105400873A,2016-03-16.

[209]S.V.戈文丹,J.B.盖尔,N.J.霍尔曼,D.M.戈登伯格. 具有CL2A接头的抗体-SN-38免疫缀合物[P]. 美国：CN105407891A,2016-03-16.

[210]孙素蓉. 一种治疗早期乳腺癌的汤剂药物及其制备方法[P]. 四川：CN105395693A,2016-03-16.

[211]李华中,杨洁,郝京生. 包装盒(基因检测试剂盒)[P]. 河南：CN303610908S,2016-03-09.

[212]李慧慧,孟雪,宋宝,翟侃,常春晓,刘聪,徐娜,商玉红. 三阴性乳腺癌转移相关易感基因TNF-α突变检测试剂盒及检测方法[P]. 山东：CN105368928A,2016-03-02.

[213]G·C·肯尼迪,J·I·威尔德,达里娅·丘多瓦,丹尼尔·潘克拉茨,卡塔林·巴尔巴西奥鲁,P·肖恩·沃尔什,M·帕甘. 用于样品分类的方法和组合物[P]. 美国：CN105378104A,2016-03-02.

[214]J.裵,N.芒什,K.安德森. XBP1、CD138和CS1肽、包括所述肽的药物组合物及使用所述肽和组合物的方法[P]. 美国：CN105377288A,2016-03-02.

[215]托妮·维因斯申克,斯特芬·沃尔特,延斯·弗里切,科莱特·宋,哈普瑞特·辛格. 用于治疗多种肿瘤(例如包括NSCLC在内的肺癌)的新型免疫疗法[P]. 德国：CN105377290A,2016-03-02.

[216]曾艺,王代松. 三阴性乳腺癌标记物及其在诊断和治疗中的应用[P]. 上海：CN105349618A,2016-02-24.

[217]杨廷稳. 一种用于诊断和预示乳腺癌的生物标志物和检测试剂盒[P]. 江苏：CN105349640A,2016-02-24.

[218]李然,李海波,刘立萍,颜颀,李雪峰. 一种治疗乳腺癌的中药[P]. 辽宁：CN105343241A,2016-02-24.

[219]M·塞皮,J·阿布斯特,E·康塞勒. 用于检测重排基因组序列中的断点的方法[P]. 法国：CN105339506A,2016-02-17.

[220]V·史密斯,S·奥格,P·范瓦拉西拉,V·E·巴里,D·马歇尔,A·K·霍尔泽,H·罗德里格斯,大保三穗,S·A·麦克考雷,C·A·加西亚,D·H·T·柏曼. LOX和LOXL2抑制剂及其应用[P]. 美国：CN105330743A,2016-02-17.

[221]慎英基,金荣德,吴恩卨,崔俊英,赵相来. 早期乳腺癌的预后预测诊断用基因标记物及其用途[P]. 韩国：CN105339797A,2016-02-17.

[222]S.L.德哈斯,P.德尔马,D.福尔恩兹勒,U.克劳斯,S.谢勒. 贝伐单抗组合疗法用于治疗乳腺癌的血浆生物标志物[P]. 瑞士：CN105327347A,2016-02-17.

[223]邵志敏,江一舟,刘依熔,徐晓恩,余科达,胡欣,姚玲,周平,金希,马丁,欧周罗,狄根红,柳光宇,吴炅. 一种预测三阴性乳腺癌预后及化疗敏感性的mRNA联合lncRNA模型及应用[P]. 上海：CN105316402A,2016-02-10.

[224]R·格密斯,E·普兰恩特,M·帕维罗威克,A·阿尔纳尔,M·塔拉格纳. 用于癌症转移的诊断和治疗的方法[P]. 西班牙：CN105324491A,2016-02-10.

[225]黄钰. 治疗乳腺癌的化岩中药汤剂[P]. 江苏：CN105311176A,2016-02-10.

[226]大贯圭,蓟英范,泽田由纪,进崇史,仓本和幸,菊池重俊,斋藤智之,滨口寿雄,长岛建之. 二环式含氮芳香族杂环酰胺化合物[P]. 日本：CN105308024A,2016-02-03.

[227]任祥,魏琴,吴丹,马洪敏,庞雪辉,闫涛,张勇. 一种基于片状锶铁氧体双重放大的乳腺癌易感基因免疫传感器的制备方法[P]. 山东：CN105301242A,2016-02-03.

[228]周新中. 治疗乳腺癌的制剂的制备方法及其制剂[P]. 广东：CN105288482A,2016-02-03.

[229]顾海华,贺立彩. 乳腺癌标志物和治疗靶标-PZR及其用途[P]. 浙江：CN105301260A,2016-02-03.

[230]N·R·纳莱恩,J·P·麦科克. 利用表观代谢转变剂(辅酶Q10)治疗疾病的方法[P]. 美国：CN105287449A,2016-02-03.

[231]谢小明,林小提,刘远芳,唐海林,刘晓萍,杨露,刘鹏,叶锋,谢新华. 两株可稳定传代并保持原特性的乳腺癌干细胞系及其分离方法和应用[P]. 广东：CN105274059A,2016-01-27.

[232]M.K.贝内特,M.I.格罗斯,S.D.布罗姆利,J.李,L.陈,B.戈亚尔,G.莱迪,T.F.斯坦顿,E.B.舍格伦. 用谷氨酰胺酶的杂环抑制剂治疗癌症[P]. 美国：CN105283182A,2016-01-27.

[233]金太源,陈东勳,弘承祐,文哉喜,申在植,金珍善,郑景娥,李政慎,崔恩卿,李在链,洪镕祥,金圭杓,南基烨,金峰徹. 包含P34的表达抑制剂或活性抑制剂作为有效成分的用于治疗或转移抑制癌的组合物[P]. 韩国：CN105283206A,2016-01-27.

[234]王义明,罗国安. 乳腺癌联合诊断标志物及检测试剂盒[P]. 北京：CN105256014A,2016-01-20.

[235]D.G.汉高尔. 作为蛋白质酪氨酸激酶调节剂的N-(3-氟苄基)-2-(5-(4-吗啉代苯基)吡啶-2-基)乙酰胺[P]. 美国：CN105263907A,2016-01-20.

[236]S·西格尔,S·布勒,A·克里夫,B·海德勒,A·E·费尔南德兹-蒙塔拉瓦,U·门宁,S·克劳斯,P·勒热纳,M·布泽曼,J·昆科. 二环2,3-苯并二氮杂*和螺环取代的2,3-苯并二氮杂*[P]. 德国：CN105263919A,2016-01-20.

[237]马丁,高庆蕾,魏军成,杨洁,乔龙. 一种分泌型Sema4C蛋白及其应用[P]. 广东：CN105259348A,2016-01-20.

[238]丁先锋,莫寅元. 一种检测乳腺肿瘤预后生物标记物LncRNA的方法及临床应用[P]. 浙江：CN105238782A,2016-01-13.

[239]盛苗苗,罗瑛,周小龙,唐文如,王芳,赵月光,李珊珊. 一种乳腺癌PIK3CA突变基因及其应用[P]. 云南：CN105238799A,2016-01-13.

[240]B·贝腾科特,S·甘纳什,E·乔治,D·休斯肯,S·密尔斯廷,J·所罗门,E·托马斯,I·托贾斯卡,J·图尔莱,J·威勒. 治疗EPAS1相关疾病的有机组合物[P]. 美国：CN105247051A,2016-01-13.

[241]J·德普拉泽斯-劳伯,C·弗埃尔,T·胡,D·詹金斯,K·佩特罗普洛斯,P·蒂尔. 针对NOTCH 3的抗体[P]. 瑞士：CN105246916A,2016-01-13.

[242]孙英丽,王均云,常双,王冬. ORY-1001联合放疗和化疗用于治疗人三阴性乳腺癌的用途[P]. 北京：CN105233292A,2016-01-13.

[243]刘异,任平达,卡塔洋·杰森,昕·郭,C·罗梅尔,T·E·威尔森. 激酶抑制剂的组合及其用途[P]. 美国：CN105246482A,2016-01-13.

[244]刘宗正. 一种谱筛查十一种疾病的基因标志物组合、试剂盒以及疾病风险预测模型[P]. 江苏：CN105219844A,2016-01-06.

[245]刘杰. 一种治疗乳腺癌的药物组合物[P]. 河北：CN105218465A,2016-01-06.

[246]N·阿赫塔尔,R·H·布拉德伯里,D·巴塔,G·S·库里,C·德萨维,C·S·唐纳德,R·A·诺曼,M·奥斯本,A·A·拉博,H·M·雷德费恩,H·E·威廉斯,N·雅瓦里. 化合物[P]. 瑞典：CN105229004A,2016-01-06.

[247]T·W·小杜本斯基,D·B·肯纳,M·L·L·梁,L·H·格利克曼,R·E·万斯,E·E·莱蒙斯. 用于活化“干扰素基因刺激因子”-依赖性信号传导的组合物和方法[P]. 美国：CN105228450A,2016-01-06.

[248]黄钰. 用于治疗乳腺癌的归脾汤药[P]. 江苏：CN105213529A,2016-01-06.

[249]格温德琳·法伊夫,潘仕春,周贤. 抗-VEGF抗体与化学治疗联合用于治疗乳腺癌的应用[P]. 瑞士：CN105214086A,2016-01-06.

[250]王荣福,王羿成,赵蔚. PHF20和JMJD3组合物及其在肿瘤免疫治疗中的使用方法[P]. 美国：CN105228640A,2016-01-06.

[251]M·班纳吉,S·米德亚,R·施里瓦斯塔瓦,S·雷纳,A·苏利耶,D·B·亚达夫,V·K·亚达夫,K·K·卡普尔,A·文卡泰桑,R·A·史密斯,S·K·汤普逊. 犬尿氨酸途径的抑制剂[P]. 印度：CN105209449A,2015-12-30.

[252]R·兰,X·陈,Y·肖,B·R·胡克,A·古托普鲁斯. 用作激酶活性调节剂的6-[4-(1H-咪唑-2-基)哌啶-1-基]嘧啶-4-胺衍生物[P]. 德国：CN105209454A,2015-12-30.

[253]浅见泰司,新居田步. 肽化合物[P]. 日本：CN105209485A,2015-12-30.

[254]N·张,Z·安. 用于诊断和治疗用途的HER3特异性单克隆抗体[P]. 美国：CN105209493A,2015-12-30.

[255]尤启冬,孙昊鹏,陈维琳,郭小可,冯涛涛,李冬冬,张晓进,徐晓莉,姜正羽. 杂环蒽酮类组蛋白甲基转移酶抑制剂及其医药用途[P]. 江苏：CN105198828A,2015-12-30.

[256]S.布特沃思,M.R.V.芬莱,R.A.瓦德,V.K.卡达姆巴,C.R.钦塔昆特拉,A.穆鲁干,H.M.雷德费尔恩,C.E.楚亚奎. 取代的N-(4-氟-2-甲氧基-5-硝基苯基)嘧啶-2-胺化合物及其盐[P]. 瑞典：CN105198862A,2015-12-30.

[257]窦啟玲,隋东虎,张圣贵. 洛铂二水合物、制备方法及药物应用[P]. 贵州：CN105198932A,2015-12-30.

[258]文平兰. 一种双出小克银汉霉WU-18菌株及用途[P]. 江苏：CN105176836A,2015-12-23.

[259]马克·E·戴维斯,寒·韩. 用硝基苯硼酸组合物稳定的纳米粒子[P]. 美国：CN105189614A,2015-12-23.

[260]任平达,刘毅,李连升,方俊,吴涛. KRAS G12C的共价抑制剂[P]. 美国：CN105189456A,2015-12-23.

[261]S.布特沃思,M.R.V.芬莱,R.A.瓦德,V.K.卡达姆巴,C.R.钦塔昆特拉,A.穆鲁干,H.M.雷德费尔恩,C.E.楚亚奎. 取代的4-甲氧基-N<sup>3</sup>-(嘧啶-2-基)苯-1,3-二胺化合物及其盐[P]. 瑞典：CN105175396A,2015-12-23.

[262]M.克莱因,C.察克拉基迪斯. 2-氨基-3,4-二氢喹唑啉衍生物及其作为组织蛋白酶D抑制剂的用途[P]. 德国：CN105189469A,2015-12-23.

[263]陶春林,王庆伟,L·纳兰,T·波拉特,L·科鲁尼尔克,N·德赛. 三嗪衍生物及其治疗应用[P]. 美国：CN105175409A,2015-12-23.

[264]M·A·波斯,D·R·托尔托拉尼,A·V·普兰达尔,J·S·托卡尔斯基,C·P·穆萨里,M·G·卡马乌,D·S·多德,A·V·加瓦伊,D·奥马利,T·N·许恩,W·瓦卡罗,L·S·哈里克里什南. 用作溴区结构域抑制剂的咔唑化合物[P]. 美国：CN105189488A,2015-12-23.

[265]D.阿曼,P.班博罗格,M.D.巴克,R.A.比特,J.A.布朗,M.坎普贝尔,N.S.加顿,M.J.林顿,T.J.希普利,N.H.蒂奥杜劳,C.R.韦拉威,S.M.韦斯塔威. 作为溴结构域抑制剂的呋喃并吡啶类[P]. 英国：CN105189515A,2015-12-23.

[266]W·麦吉,J·布莱克利奇,M·格拉佩豪斯. 经修饰多西他赛脂质体制剂[P]. 美国：CN105188675A,2015-12-23.

[267]徐荣臻,黄文栋,干小仙,古莹,陆新良. 双苄基异喹啉类生物碱及其衍生物的抗肿瘤应用[P]. 浙江：CN105168215A,2015-12-23.

[268]王笑民,杨国旺,郁仁存,于明薇,彭楠. 一种治疗骨质疏松的药物组合物及其制备方法[P]. 北京：CN105168731A,2015-12-23.

[269]R·阿尔马西,R·E·肖沃尔特,J·A·汤姆森,W·西森,W-J·西亚,L-C·陈,L·杨. 用于癌症治疗的具有减弱的对ADI-PEG 20抗体的交叉反应性的精氨酸脱亚胺酶[P]. 开曼群岛：CN105188739A,2015-12-23.

[270]B.鲍德纳,D.奥黑根,S.加洛里尼. 包含TOLL样受体激动剂的免疫组合物的皮内递送[P]. 比利时：CN105188747A,2015-12-23.

[271]卢庆彬. 用于与放射结合使用的放射增敏剂化合物[P]. 加拿大：CN105164107A,2015-12-16.

[272]俞昌,杜学东. 改良的疾病检测仪[P]. 浙江：CN105164530A,2015-12-16.

[273]阿莱娜·格罗斯,史蒂文·A·罗森伯格. 从肿瘤中产生肿瘤反应性T细胞的富集群的方法[P]. 美国：CN105163744A,2015-12-16.

[274]K.艾斯,F.普勒,L.佐恩,V.舒尔策,D.休尔兹勒,P.利诺,A.M.温纳,K.彼得森,U.伯默. 作为MKNK1抑制剂的取代的咪唑并[1,2-B]哒嗪类化合物[P]. 德国：CN105143227A,2015-12-09.

[275]李西才. 环肽类化合物及其应用[P]. 广东：CN105131082A,2015-12-09.

[276]A.纳塔拉彦,R.J.费尔金斯,A.苏德,L.S.卡努马勒,K.A.谢赫,C.罗维斯. 染料的光敏化化学漂白[P]. 美国：CN105143885A,2015-12-09.

[277]向国安,张锦前. 一种含二氧化钛纳米粒子用于预防或治疗癌症的药物组合物及其应用[P]. 广东：CN105125576A,2015-12-09.

[278]Z-Y.张,L-F.曾. 包含Src同源-2结构域的致癌性蛋白酪氨酸磷酸酶-2(SHP2)的基于羟基吲哚羧酸的抑制剂[P]. 美国：CN105142634A,2015-12-09.

[279]乌尔夫·格劳乌德,罗格·伦佐·贝利. 通过序列特异性转肽酶制备免疫配体/效应分子结合物的方法[P]. 瑞士：CN105142675A,2015-12-09.

[280]安松柱. 用于治疗纤维化疾病的化合物[P]. 广东：CN105120867A,2015-12-02.

[281]Q·盛,H-Q·王,李昉,J·梁,Z·A·曹,J·莫那汉,R·弗塞思. 组合治疗[P]. 瑞士：CN105120868A,2015-12-02.

[282]亚历山大·德·拉·富恩特·冈萨雷斯,拉斐尔·洛佩兹,米格尔·阿巴尔·波萨达. 调节癌细胞播散的药剂、包括该药剂的制品、该药剂在治疗和/或预防癌症用途[P]. 西班牙：CN105120891A,2015-12-02.

[283]庄树藩,魏茂祥,吴开俊,金成烈,庄玲伶,毕长红. 一种食疗抗癌制剂及其制备方法[P]. 广东：CN105106754A,2015-12-02.

[284]U·勒金,R·博尔曼,D·科泽蒙德,A·斯考兹,P·利瑙,G·西莫伊斯特尔,U·鲍默. 含砜基团的4-(邻)-氟苯基-5-氟嘧啶-2-基胺[P]. 德国：CN105102434A,2015-11-25.

[285]罗成,孔祥谦,陈丽敏,蒋翔锐,杜道海,卢俊彦,刘静秋,朱孔凯,李连春,丁宏,陈凯先,沈敬山,蒋华良. 阿司咪唑、其盐或溶剂合物在制备预防和/或治疗恶性淋巴瘤的药物中的用途[P]. 上海：CN105078983A,2015-11-25.

[286]F·Y·李. 治疗增殖性疾病的组合疗法[P]. 美国：CN105101968A,2015-11-25.

[287]邢莉,周海兵. 化合物及其制备方法和应用[P]. 湖北：CN105061288A,2015-11-18.

[288]张家忠,约翰·比尔,卡特里娜·陈,帕拉巴·N·易卜拉欣,杰克·林,芳璃·范,石宋元,韦恩·斯佩瓦克,吴国贤,杰弗里·吴. 杂环化合物及其应用[P]. 美国：CN105073747A,2015-11-18.

[289]罗兰·F·赫伯特. 稳定的S-腺苷-L-蛋氨酸的吲哚-3-丙酸盐[P]. 美国：CN105073767A,2015-11-18.

[290]N.格雷,S.M.利姆,H.G.乔伊,K.D.韦斯托弗. RAS抑制剂及其用途[P]. 美国：CN105073768A,2015-11-18.

[291]郭学平,石艳丽,李海娜,王冠凤,薛蔚,乔莉苹,冯宁,张晓鸥,刘爱华. 聚透明质酸或者寡聚透明质酸盐的用途及其组合物[P]. 山东：CN105055440A,2015-11-18.

[292]余洛汀,魏于全. 吡啶酮衍生物及其制备方法和用途[P]. 四川：CN105037360A,2015-11-11.

[293]李明松. 替换WLS表位的重组蛋白及其编码核苷酸和应用[P]. 广东：CN105037506A,2015-11-11.

[294]赵立明,马凤燕. 具有抗肿瘤活性的羟基蒽醌氮芥衍生物及其制备方法[P]. 江苏：CN105037181A,2015-11-11.

[295]许学农. 瑞博西尼中间体及其制备方法[P]. 江苏：CN105037236A,2015-11-11.

[296]J·伯勒,A·奈茨,C·穆尼安. 细胞介导的免疫应答试验[P]. 澳大利亚：CN105051537A,2015-11-11.

[297]小D·M·内维尔. 通过抗-CD3免疫毒素的免疫调节治疗没有均一地含有表面CD3的癌症[P]. 美国：CN105050625A,2015-11-11.

[298]章龙珍,姚宏,邱慧,辛勇,蒋冠,邵智颖. 新型靶向纳米粒子及其制备方法和用途[P]. 江苏：CN105031648A,2015-11-11.

[299]杨红,龚珠萍,邓安平,刘迪,吕小燕,王雪,姚枫枫,付佩,赵成龙. 多重靶向抗肿瘤复合制剂及其制备方法[P]. 江苏：CN105030730A,2015-11-11.

[300]J-L·罗贝尔,S-W·黄,E·G·勒杜列斯库,F·G·G·M·维尼翁,R·Q·埃尔坎普. 用于超声微钙化检测的波束形成技术[P]. 荷兰：CN105050505A,2015-11-11.

[301]杨胜勇,魏于全. 5-氟-2,4-二取代氨基嘧啶衍生物及其制备方法和用途[P]. 四川：CN105017159A,2015-11-04.

[302]张玲华,周洁安,蔡海明,马苗鹏. 一种高效抗炎性PB ODN序列及其应用[P]. 广东：CN105012333A,2015-11-04.

[303]约翰·W·巴比奇,克雷格·齐默曼,约翰·乔亚尔,陆根良. 三嗪类放射性药物和放射性显影剂[P]. 美国：CN105025933A,2015-11-04.

[304]周一红. 纤蛋白蛋白变体及相应的核酸序列[P]. 美国：CN105025986A,2015-11-04.

[305]弗朗西斯科·约瑟·韦佐索·皮涅罗,罗马·佩雷斯·费尔南德斯,诺埃米·亿诺·迪亚兹. 人类子宫颈干细胞群及其应用[P]. 西班牙：CN105008520A,2015-10-28.

[306]M·A·波斯,D·R·托尔托拉尼,D·S·多德,C·P·穆萨里,J·S·托卡尔斯基,A·V·加瓦伊,赵玉芬,G·V·德卢卡,D·奥马利,D·J·诺里斯,P·吉尔,C·A·魁斯内尔,韩文景. 用作溴区结构域抑制剂的咔唑化合物[P]. 美国：CN105008352A,2015-10-28.

[307]L.佐恩,K.艾斯,V.舒尔策,D.休尔兹勒,F.皮尤勒,P.利诺,U.伯默,K.彼得森,A.黑格巴思. 作为MKNK-1激酶抑制剂的酰氨基咪唑并哒嗪[P]. 德国：CN105008363A,2015-10-28.

[308]张有做. 一种植物奶及其制备方法[P]. 浙江：CN104996579A,2015-10-28.

[309]刘杰,郑文静,周艳晖,陈兰美. 一种层状双金属氢氧化物/硒纳米复合物及其应用[P]. 广东：CN104997804A,2015-10-28.

[310]N.布拉奎尔,S.多,D.达德利,A.J.福克斯,R.A.戈德史密斯,R.希尔德,T.赫夫龙,A.科莱斯尼科夫,C.恩达巴库,A.G.奥利维罗,S.普赖斯,S.斯塔本,魏斌清. 苯并氧杂*PI3K抑制剂化合物和使用方法[P]. 瑞士：CN104987345A,2015-10-21.

[311]B·J·巴克,D·J·马利,S·A·奥克斯,F·R·帕帕,G·佩雷拉,L·王. IRE1的调节[P]. 美国：CN104995192A,2015-10-21.

[312]S·哈特勒,C·弗里施,A·克纳皮克. 复合物特异性抗体和抗体片段及其用途[P]. 德国：CN104995517A,2015-10-21.

[313]刘岩峰,张景海,崔勇. 肝癌细胞中β1蛋白功能及其应用[P]. 辽宁：CN104975072A,2015-10-14.

[314]赵临襄,刘丹,钟杭,景永奎. 二氢青蒿素苯基醚衍生物及其应用[P]. 辽宁：CN104974171A,2015-10-14.

[315]鞠佃文,宋平,范佳君,王子玉,李玉彬,曾贤,王绍飞,赵舒薇. 自噬抑制剂与天冬酰胺酶组合物及其在制备肿瘤增效药物中的用途[P]. 上海：CN104971348A,2015-10-14.

[316]杰克·林,约翰·比尔,卡特里娜·陈,托德·尤英,帕拉巴·N·易卜拉欣,玛丽卡·内斯皮,芳璃·范,石宋元,韦恩·斯佩瓦克,吴国贤,张家忠,张莹. 用于激酶调节的化合物和方法及其适应症[P]. 美国：CN104981247A,2015-10-14.

[317]G.朱,J.龚,V.B.甘希,T.D.彭宁,V.吉兰达. 在2-位上被一个季碳原子取代的1H-苯并咪唑-4-甲酰胺化合物是有效的PARP抑制剂[P]. 巴哈马：CN104961723A,2015-10-07.

[318]L·波拉斯,D·厄里什,T·冈德. 抑制VEGF的稳定和可溶的抗体[P]. 瑞士：CN104961828A,2015-10-07.

