[1]孙新,徐沁,梅艳巧,景丹丹. 遗传性乳腺癌与卵巢癌BRCA1/2基因热点突变位点检测试剂盒[P]. 江苏：CN107523609A,2017-12-29.
[166]任绪义,虞闰六,施宏. 一种乳腺癌复发风险评估21基因检测引物及其应用[P]. 浙江：CN107058523A,2017-08-18.

[167]王一然,王宁,王雅杰,刘传. 一种减小肿瘤细胞对抗肿瘤药物的耐药性的方法[P]. 上海：CN107058233A,2017-08-18.

[168]P·塞尔特龙. C/EBPα组合物和使用方法[P]. 英国：CN107075515A,2017-08-18.

[169]哈里·奥斯特勒,约翰尼·C·洛克,亚历山大·珀尔曼. 用于评估癌症的种系风险的方法和组合物[P]. 美国：CN107075553A,2017-08-18.

[170]王宁,王雅杰,熊安稳,王一然,刘传,吴家雪. 建立乳腺癌易感基因突变动物模型的方法及应用[P]. 上海：CN107058384A,2017-08-18.

[171]K·J·奈杜,J·阿什卡尼. 用于鉴定多种癌症类型和亚型的糖基转移酶基因表达谱[P]. 南非：CN107075586A,2017-08-18.

[172]王绍梦,赵玉军,周冰,安吉洛·阿圭勒,刘柳,白龙川,堂娜·麦凯克伦,孙度新,温波,罗瑞娟,赵婷,阿鲁·钦奈彦,伊尔凡·A·阿桑加尼,珍妮·斯塔基,詹尼弗·林恩·马尔,冉旭,胡杨. 作为BET溴结构域抑制剂的9H嘧啶并[4,5#B]吲哚和相关类似物[P]. 美国：CN107074861A,2017-08-18.

[173]角田卓也,大泽龙司,山下祥子,渡边朝久. CDCA1衍生的肽和含有它们的疫苗[P]. 日本：CN107074908A,2017-08-18.

[174]E.布雷伊,D.萨蒂恩,E.N.范登布林克,D.维兹尔,R.N.德乔恩,P.帕伦,R.范蒂克休泽恩拉德斯马. 结合AXL的抗体[P]. 丹麦：CN107074948A,2017-08-18.

[175]李立新. 用于治疗肿瘤的抗#PD#L1组合[P]. 开曼群岛：CN107074958A,2017-08-18.

[176]王慧茹. 基于糖类的生物标记物和治疗剂[P]. 北京：CN107074960A,2017-08-18.

[177]N.D.博亚克,M.J.德维特,E.M.克劳兰,T.B.罗温尔,P.U.朴,B.普林斯,A.V.于尔科维茨基. 针对HER2表位的单克隆抗体及其使用方法[P]. 美国：CN107074962A,2017-08-18.

[178]C·威尔逊,K·麦金尼斯. 嵌合受体及其在免疫治疗中的应用[P]. 美国：CN107074969A,2017-08-18.

[179]D.T.德兰斯菲尔德,S.伊蒂拉,J-M.拉皮埃尔,B.施瓦茨,余毅. 用于治疗增生性病症的组合物和方法[P]. 美国：CN107074769A,2017-08-18.

[180]J·A·卡隐,汪敏,A·M·卡保恩,T·C·霍伊. 编码突变的人NOTCH受体的多核苷酸[P]. 美国：CN107056930A,2017-08-18.

[181]O·富尔德,S·J·戴拉,R·A·司徒,A·班克维奇,A·L·L·拉泽迪克,J·伯恩斯坦. 新型调节剂及使用方法[P]. 美国：CN107056945A,2017-08-18.

[182]B·K·阿尔布雷克特,A·科特,T·克劳福德,M·杜普莱西斯,A·C·古德,Y·勒布朗,S·马格努森,C·G·那斯维舒克,R·帕斯特,F·A·罗梅罗,A·M·泰勒. 治疗性化合物及其用途[P]. 美国：CN107074823A,2017-08-18.

[183]B·K·阿尔布雷克特,A·科特,T·克劳福德,M·杜普莱西斯,A·C·古德,Y·勒布朗,S·马格努森,C·G·那斯维舒克,R·帕斯特,F·A·罗梅罗,A·M·泰勒. 作为用于治疗癌症的PCAF和GCN5抑制剂的式(I)的酞嗪衍生物[P]. 美国：CN107074824A,2017-08-18.

[184]G.F.基尼,J.王,B.杰拉德,K.阿赖,X.刘,G.Z.郑,K.基拉,P.蒂维特马海苏恩,S.普拉贾帕蒂,N.C.吉尔哈特,Y.科塔克,S.纳加奥,R.卡纳达索诺布,M.米亚诺,N.穆雷,K.H.林,E.帕佐利,M.P.托马斯,P.G.史密斯,B.陈,E.S.朴,L.余,S.波拿米西. 普拉二烯内酯吡啶化合物和使用方法[P]. 日本：CN107074827A,2017-08-18.

[185]G·M·丘奇,F·魏格纳尔特,K·U·米尔. 用于对核酸探测并作图的RNA#引导的系统[P]. 美国：CN107075546A,2017-08-18.

[186]H·J·范奥义任,A·范德斯托尔佩,D·A·M·W·范斯特里普. 使用靶基因表达的数学建模评价TGF#β细胞信号传导途径的活性[P]. 荷兰：CN107077536A,2017-08-18.

[187]O·阿卜杜勒-拉赫曼·阿里,D·J·穆尼,G·达瑞奥佛. 结合的疫苗装置和杀死癌细胞的方法[P]. 美国：CN107073090A,2017-08-18.

[188]尹昊勤,郑载镐,朴恩成,徐在圣,奇炫廷. 用于识别WLS蛋白特定基序的抗体和含有其的药物组合物[P]. 韩国：CN107073117A,2017-08-18.

[189]R·C·琴托雷,A·R·科纳里,K·加斯科因,R·J·西姆斯三世. CBP/EP300和BET抑制剂用于治疗癌症的用途[P]. 美国：CN107073125A,2017-08-18.

[190]书志·陈,史蒂文·C·夸伊. 分子乳房摄影术[P]. 美国：CN107076747A,2017-08-18.

[191]安德烈·洛佩斯卡瓦略,雷内阿洛伊西奥·达科斯塔维埃拉,伊斯梅尔戴尔科特里姆·格雷罗达席尔瓦,埃德森·吉马雷斯洛图尔科,特雷泽·科尔. 评估乳腺癌的生物标志物[P]. 巴西：CN107076748A,2017-08-18.

[192]田维明,赵玉芳,乔书培. 裸鼹鼠巨型分子量透明质酸在制备治疗乳腺癌药物中的应用[P]. 黑龙江：CN107050045A,2017-08-18.

[193]J.克诺普夫,J.西赫拉,R.库马. 活化素#ACTRIIA拮抗剂及在治疗或预防乳腺癌中的用途[P]. 美国：CN107050424A,2017-08-18.

[194]T·荷雷德,K·桑吉夫. 使用 CHK1 和 ATR 抑制剂的组合治疗癌症的方法[P]. 美国：CN107072987A,2017-08-18.

[195]B·C·奥斯塔德,D·G·罗伊. 赛灵克斯的多晶型物[P]. 美国：CN107072992A,2017-08-18.

[196]扬·K·陈,哲·聂,杰弗里·艾伦·斯塔福德,詹姆斯·马文·维尔. 组蛋白脱甲基酶抑制剂[P]. 美国：CN107073006A,2017-08-18.

[197]安东尼奥·费尔南德斯·桑蒂德里安,布伦希尔德·H·费尔丁. 增强癌症疗法的方法和组合物[P]. 美国：CN107073027A,2017-08-18.

[198]加里·K·科斯基,乔休德普·达塔. 在癌症和免疫恢复中监测CD4<sup>+</sup>1型T辅助细胞应答的方法[P]. 美国：CN107073038A,2017-08-18.

[199]徐寒梅,李梦玮. 肿瘤标志物TMEM170B蛋白及其在制备抑制肿瘤产品中的应用[P]. 江苏：CN107064511A,2017-08-18.

[200]钱其军,金华君,李振海,吕赛群,吴红平,丁娜,李林芳,俞德超,吴孟超. 一种嵌合强启动子及其用途[P]. 上海：CN107043774A,2017-08-15.

[201]王永翠,王勇. 一种药物的长非编码RNA靶点预测方法和系统[P]. 北京：CN107038350A,2017-08-11.

[202]袁纪军,沈正萱,牟男,曹跃琼. 乙酰胆碱酯酶、丁酰胆碱酯酶或他们的突变体在制备或筛选治疗肿瘤的药物中的用途[P]. 上海：CN107029218A,2017-08-11.

[203]杨波,何俏军,曹戟,应美丹,董蓉,朱虹. 新橙皮苷在制备防治肿瘤药物中的应用[P]. 浙江：CN107028962A,2017-08-11.

[204]宋克清,孙诚,黄理,张连军,陈辉. 一种乳腺癌21基因建库试剂盒[P]. 天津：CN206385126U,2017-08-08.

[205]张连军,孙诚,宋克清,黄理,王伟,陈辉. 一种乳腺癌易感基因BRCA1捕获试剂盒[P]. 天津：CN206385127U,2017-08-08.

[206]J·王,Q·李. 蛋白质诱导的多能细胞技术及其用途[P]. 美国：CN107012118A,2017-08-04.

[207]丹尼尔·约翰·奥珊尼斯. 抗叶酸受体α抗体及其应用[P]. 日本：CN107011439A,2017-08-04.

[208]乌尔·沙欣,厄兹莱姆·图雷奇,米夏埃尔·科斯洛夫斯基,科登·沃尔特,斯特凡·韦尔,玛丽亚·克罗伊茨贝格,贝恩德·胡布纳,米夏埃尔·埃尔代连,米夏埃尔·魏歇尔. 用于治疗表达密蛋白6之癌症的抗体[P]. 德国：CN107011440A,2017-08-04.

[209]张彤,丁越,兰金帅,康亚楠,路璐. 一种氧化还原响应性两亲性共聚物及其制备方法和应用[P]. 上海：CN107007550A,2017-08-04.

[210]H·科本,S·潘,S·罗斯特,于炜,D·沙姆斯. 使用C#MET拮抗剂的癌症治疗及前者与HGF表达的关联[P]. 瑞士：CN107002119A,2017-08-01.

[211]理查德·奥尔曼. 用于评估发展乳腺癌风险的方法[P]. 澳大利亚：CN107002138A,2017-08-01.

[212]J.卡科拉,S.J.普拉特罗. 使用FGFR突变基因组鉴定将对用FGFR抑制剂进行治疗有反应的癌症患者[P]. 比利时：CN107002141A,2017-08-01.

[213]刘苏燕,吴诗扬. 乳腺癌早期诊断试剂盒[P]. 广东：CN106995837A,2017-08-01.

[214]R.明特,S.鲁斯特,S.吉拉尔,L.U.耶尔穆图斯,C.海,K.萨赫森梅尔,E.萨尔特,Q.黄,P.帕夫利克,M.达姆施罗德,L.程,G.迪特里奇,J.里奥斯-多里亚,S.哈蒙德,R.E.霍林斯沃尔思,N.杜尔哈姆,C.C.廖,M.安东尼萨米,J.乔赫根,X.卢,K.罗森萨尔. 对CD73具有特异性的结合分子及其用途[P]. 英国：CN107001472A,2017-08-01.

[215]G·J·弗里曼,A·H·夏普,G·J·弗雷,H·W·常,J·M·玛塔拉扎,G·德拉诺夫. 针对PD#L1的抗体分子及其用途[P]. 瑞士：CN107001478A,2017-08-01.

[216]陈晓诚,M·丹尼斯,J·R·云努图拉,G·L·菲利普斯,T·H·皮洛,M·X·斯莱夫科夫斯基. 抗HER2抗体和免疫缀合物[P]. 美国：CN107001479A,2017-08-01.

[217]R·戈米斯,J·C·特塞罗. 用于人C#MAF的结合成员[P]. 西班牙：CN107001480A,2017-08-01.

[218]S.威廉斯,L.桑德斯,H.卡孙基,M.布恩坦拉特. 新的抗MFI2抗体和使用方法[P]. 美国：CN107001454A,2017-08-01.

[219]托尼·温斯切尼克,安德烈·马尔,延斯·弗里切,菲利普斯·穆勒,安妮塔·维贝,萨拉·库彻尔. 用于肝细胞癌(HCC)和其他癌症免疫治疗的新型肽和肽组合物[P]. 德国：CN107001414A,2017-08-01.

[220]B·F·苏利文,L·G·莱恩. 测量ERBB信号传导通路活性以诊断和治疗癌症患者的方法[P]. 美国：CN107003300A,2017-08-01.

[221]王大庆,蒋韦恩,素德·阿格拉沃尔. 使用TLR9激动剂与检查点抑制剂对癌症的治疗[P]. 美国：CN106999574A,2017-08-01.

[222]J·张,M·侯赛尼,J·金姆. 包含OX40结合激动剂和PD#1轴结合拮抗剂的组合疗法[P]. 瑞士：CN106999583A,2017-08-01.

[223]M·克鲁默,M·布罗兹,D·沃尔夫,J·波拉克,M·比内维斯. 对刺激性和非刺激性骨髓细胞的调节[P]. 美国：CN106999585A,2017-08-01.

[224]瓦伦蒂诺·梅尔卡迪. 菜蓟滴定提取物及其用途[P]. 意大利：CN106999596A,2017-08-01.

[225]洪明奇,杜轶. 针对PARP抑制剂的应答的预测和靶向C#MET和PARP1的组合疗法[P]. 美国：CN106999734A,2017-08-01.

[226]休伯特·陈,D·A·安尼斯,常勇,曼纽尔·艾瓦多,卡伦·奥尔森,克里斯·J·维奥. 拟肽大环化合物及其用途[P]. 美国：CN106999541A,2017-08-01.

[227]D.M.戈登伯格. 抗体#药物缀合物的新辅助剂用途[P]. 美国：CN106999517A,2017-08-01.

[228]李红梅,叶明芝,李世勇,苏孟媛. 一种BRCA1/2基因检测文库的构建方法和试剂盒[P]. 广东：CN106987905A,2017-07-28.

[229]辇伟奇,张娜,李丽仙,刘海霞,葛闯,曹勇,唐万燕,何永鹏. 肿瘤治疗心脏毒性预测基因突变检测文库的构建方法[P]. 重庆：CN106987906A,2017-07-28.

[230]奥利弗·斯赫尔,诺波特·希尔夫,托尼·怀申克,克劳迪娅·特劳特魏因,斯特芬·沃尔特,哈伯利特·辛格. 抗神经元和脑肿瘤等几种肿瘤的新型免疫疗法[P]. 德国：CN106986919A,2017-07-28.

[231]N.迪米特罗瓦,C.米塔尔. 使用感兴趣的基因#报道物融合蛋白和光学成像的治疗送递和监测[P]. 荷兰：CN106978427A,2017-07-25.

[232]T·戴维森,J·奥唐奈,M·比尔斯约,F·麦克戴尔,S·德阿里,L·A·希尔,K·E·基廷,V·普罗乌特斯基,D·P·哈金,R·肯尼迪,N·戈法尔. 用于癌症的分子诊断试验[P]. 英国：CN106978480A,2017-07-25.

[233]康灿昆,陈琰. 一种用于检测乳腺癌21基因表达水平的多重荧光PCR检测试剂盒[P]. 福建：CN106978492A,2017-07-25.

[234]刘滨磊. 重组溶瘤II型单纯疱疹病毒在制备抗淋巴瘤、食道癌、乳腺癌、胰腺癌药物中的应用[P]. 湖北：CN106974942A,2017-07-25.

[235]严勇朝,朱益林,陈思毅. 共表达抗EGFRvIII嵌合抗原受体和免疫检查点抑制分子的转基因淋巴细胞及其用途[P]. 北京：CN106967685A,2017-07-21.

[236]严勇朝,朱益林,陈思毅. 治疗脑胶质母细胞瘤的治疗组合物[P]. 北京：CN106967681A,2017-07-21.

[237]J·Z·森波,D·豪斯勒. 高通量测序数据的平行比较分析[P]. 美国：CN106971089A,2017-07-21.

[238]李英霞,高顶顶,张鸣鸣,任素梅,王玉杰. (S)-N-(1-苯乙基)硫代乙酰胺类化合物及其药用组合物及其应用[P]. 上海：CN106957279A,2017-07-18.

[239]J·Z·森波,D·豪斯勒. BAMBAM：高通量测序数据的平行比较分析[P]. 美国：CN106951732A,2017-07-14.

[240]辇伟奇,张海伟,李丽仙,余慧青,唐万燕,张娜,何永鹏. 激素受体阳性乳腺癌复发监测基因突变文库的构建方法[P]. 重庆：CN106939337A,2017-07-11.

[241]王宁,王一然,王雅杰,刘传,吴家雪. PARP1抑制剂耐药细胞株的建立方法及其应用[P]. 上海：CN106939301A,2017-07-11.

[242]张灏. 一种激活PTPRO基因表达的saRNA及其转运载体[P]. 广东：CN106929508A,2017-07-07.

[243]王秀莉,王旺,玄兆伶,李大为,梁峻彬,陈重建. 乳腺癌易感基因检测试剂盒[P]. 北京：CN106929564A,2017-07-07.

[244]毛丹丹. 针对DNA损伤修复能力相关基因配方食品及其制备方法[P]. 上海：CN106923348A,2017-07-07.

[245]刘劲. 人表皮生长因子受体Her-2/neu定量检测试剂盒及其制备方法与应用[P]. 北京：CN106932583A,2017-07-07.

[246]李鹏,张晓飞,陈丽娜. 一种乳腺癌易感基因检测芯片[P]. 陕西：CN206298601U,2017-07-04.

[247]张玉想,刘思源. PPO基因在制备腺癌诊断试剂中的应用[P]. 北京：CN106918703A,2017-07-04.

[248]孟颂东,郑华国,李杨. 蛋白TIF1#β及其多肽在制备治疗与预防癌症的药物中的应用[P]. 北京：CN106913862A,2017-07-04.

[249]孟颂东,郑华国,李杨. NUP188蛋白及其多肽在治疗与预防癌症中的应用[P]. 北京：CN106913863A,2017-07-04.

[250]王志梁,倪健. 一种抗人表皮生长因子受体2单克隆抗体结合纳米胶束及制备方法和应用[P]. 天津：CN106913881A,2017-07-04.

[251]刘博,欧阳亮,张岚,符雷蕾,姚大红. BRD4抑制剂及其在肿瘤治疗药物中的应用[P]. 四川：CN106905347A,2017-06-30.

[252]孟颂东,郑华国,李杨. APO#E蛋白及其多肽在治疗与预防癌症中的应用[P]. 北京：CN106890315A,2017-06-27.

[253]蔡则玲,陈羿. 双特异性偶联抗体及其制法和用途[P]. 上海：CN106883298A,2017-06-23.

[254]刘苏燕,吴诗扬,董艳. 循环肿瘤细胞分型鉴定试剂盒[P]. 广东：CN106868098A,2017-06-20.

[255]刘苏燕,吴诗扬,董艳. 乳腺癌循环肿瘤细胞鉴定试剂盒[P]. 广东：CN106868099A,2017-06-20.

[256]刘苏燕,吴诗扬,董艳. 循环肿瘤干细胞鉴定试剂盒[P]. 广东：CN106868101A,2017-06-20.

[257]张锦锋,桑清香,俞开先. 化疗方案选择[P]. 美国：CN106868105A,2017-06-20.

[258]何劲松,陈伟财,罗雪莹,潘悦,刘宝儿,李峰. 一组辅助诊断乳腺癌的生物标记物及其应用[P]. 广东：CN106868128A,2017-06-20.

[259]杨跃梅. 一种监测肿瘤发生发展的产品及其应用[P]. 北京：CN106868133A,2017-06-20.

[260]付利,何劲松,谭斌斌,陈伟财,邹畅,向迪,刘蓓蕾,罗雪莹,潘悦. 真核翻译延伸因子在检测乳腺癌试剂中的应用[P]. 广东：CN106868191A,2017-06-20.

[261]骆嘉伟,宋丹,蔡洁,王伟胜,刘智明. 一种基于功能模块的疾病关联因子识别方法及系统[P]. 湖南：CN106874706A,2017-06-20.

[262]劳英斌. 一种针对PI3K的纳米抗体及其临床应用[P]. 江苏：CN106854246A,2017-06-16.

[263]陈立国,邹伟权,张亚丽,李庆祥,母润红,王涛,苏焱. 一种乳腺癌三联快速检测试剂盒[P]. 广东：CN106855575A,2017-06-16.

[264]李朋,韦伟. 乳腺癌手术专用皮瓣拉钩[P]. 广东：CN206252521U,2017-06-16.

[265]杨跃梅. AIM1和EME1易感SNP位点检测试剂及其制备的试剂盒[P]. 北京：CN106834468A,2017-06-13.

[266]杨跃梅. 乳腺癌预后相关基因突变检测试剂盒及其使用方法[P]. 北京：CN106834491A,2017-06-13.

[267]何东宁,马萍,哈敏文. 一种通过建立miRNAs表达水平预测三阴性乳腺癌复发转移时间及预后的方法[P]. 辽宁：CN106834523A,2017-06-13.

[268]何劲松,陈伟财,罗雪莹,潘悦,刘宝儿,李峰. 一种乳腺癌检测试剂盒[P]. 广东：CN106834476A,2017-06-13.

[269]葛良进,邓力蔚,曾立董,刘松,李改玲,林群婷,刘丽春. 同时获取以及检测多个目标区域序列的引物、试剂盒及方法[P]. 广东：CN106834283A,2017-06-13.

[270]周礼红. 抗癌肽及其制备方法与应用[P]. 贵州：CN106831946A,2017-06-13.

[271]华绍炳,吴捷,侯伟,余乃绚,王炜,王丽江. 一种抗人HER2抗体及其编码基因和应用[P]. 浙江：CN106831986A,2017-06-13.

[272]华绍炳,吴捷,侯伟,余乃绚,王炜,王丽江. 一种抗人HER2抗体及其编码基因和应用[P]. 浙江：CN106831987A,2017-06-13.

[273]S·辛格. 针对细胞内抗原的单域抗体[P]. 美国：CN106852148A,2017-06-13.

[274]荆瑞琳,张萌萌,董永芳,王旺,李雪峰,玄兆伶,李大为,梁峻彬,陈重建. 一种用于FFPE样本拷贝数变异检测的装置[P]. 北京：CN106845154A,2017-06-13.

[275]申莹莹,祖旭宇,蒋宇扬,何俊,张存龙,曹仁贤,刘江华. 酪氨酸激酶抑制剂DCC#2036的新应用[P]. 湖南：CN106822128A,2017-06-13.

[276]宋相红,徐金芬. 一种早期乳腺癌的检测装置[P]. 山东：CN206239392U,2017-06-13.

[277]R·E·索博尔,K·梅南德. P53生物标记物[P]. 美国：CN106841616A,2017-06-13.

[278]孟颂东,郑华国,李杨. DEF8蛋白及其多肽在治疗与预防癌症中的应用[P]. 北京：CN106822869A,2017-06-13.

[279]毕惠嫦,黄民,陈亦欣,王永涛,黄瑶瑶. 过氧化物酶体增殖剂激活受体α对肉毒碱棕榈酰基转移酶1C的直接调控作用及抗肿瘤应用[P]. 广东：CN106822901A,2017-06-13.

[280]宋相容,魏于全. 肿瘤细胞叶酸受体靶向的PEDF基因复合物[P]. 四川：CN106822920A,2017-06-13.

[281]杨跃梅. 一种乳腺癌治病基因新突变及其应用[P]. 北京：CN106811528A,2017-06-09.

[282]张红雨,周雄辉,全源,崔泽嘉,杨庆勇. 一种个性化用药的系统药理学方法[P]. 湖北：CN106815486A,2017-06-09.

[283]S·R·利翁,A·波尔森,P·波拉基斯,Y·吴,W-C·梁,R·法尔斯坦. 抗#B7#H4抗体及免疫缀合物[P]. 美国：CN106804108A,2017-06-06.

[284]胡适,雷长海,傅文燕,沈亚峰,李天. 抗人EGFR和Notch多特异性抗体、其制备方法及用途[P]. 上海：CN106800599A,2017-06-06.

[285]丁丹,陈超,朱志朋. 一种光动力疗法辅助手术治疗小鼠乳腺癌细胞的试验方法[P]. 天津：CN106798934A,2017-06-06.

[286]徐以兵,宋向阳,忻莹,唐金海,寿鑫,孟可馨,朱珍芳. 一种用于检测乳腺癌的引物组及检测方法[P]. 浙江：CN106755459A,2017-05-31.

[287]王明,赵会. 乳腺癌易感基因变异文库构建方法[P]. 上海：CN106754878A,2017-05-31.

[288]刘贇. 一种乳腺癌基因检测试剂盒[P]. 上海：CN106755349A,2017-05-31.

[289]因德尔·巴哈姆拉,迈克尔·马西森,克雷格·多诺霍,理查德·泰斯塔尔. 作为Wnt信号传送途径的抑制剂的N#吡啶基乙酰胺衍生物[P]. 英国：CN106795157A,2017-05-31.

[290]J·费热,C·科,C·梅内特里耶-科,J·尼内斯,D·奥利芙. 抗ICOS的抗体及其用途[P]. 法国：CN106749662A,2017-05-31.

[291]角田卓也,大泽龙司,山下祥子,渡边朝久,引地哲郎. URLC10衍生的肽和含有它们的疫苗[P]. 日本：CN106795204A,2017-05-31.

[292]陆燕,J·T·多尔顿,李伟,D·D·米勒. 治疗癌症的化合物[P]. 美国：CN106794174A,2017-05-31.

[293]康毅滨,刑永娜,万里玲,郭锋. 阻断异粘蛋白#SND1相互作用的肽作为癌症治疗的用途[P]. 美国：CN106794216A,2017-05-31.

[294]Y·佩特森,N·梅森. 用于治疗HER#2阳性癌症的联合免疫疗法和放疗[P]. 美国：CN106794234A,2017-05-31.

[295]P·乌马纳,C·克莱因,V·G·尼科利尼. 肿瘤靶向性IL#2变体免疫细胞因子和针对人PD#L1的抗体的组合疗法[P]. 瑞士：CN106794245A,2017-05-31.

[296]栾世勋,栾海燕. 一种输液针剂及其制备方法和应用[P]. 河北：CN106727290A,2017-05-31.

[297]詹启敏,宋咏梅,赵梓彤,付明. 一种microRNA分子用于检测和治疗乳腺癌的用途[P]. 北京：CN106729751A,2017-05-31.

[298]F·楚,O·福尔曼,J·恰伊. 用于检测T细胞免疫子集的测定法及其使用方法[P]. 瑞士：CN106796235A,2017-05-31.

[299]管晓翔,张文文,杨芳. 一种三阴性乳腺癌细胞上皮间质转换过程中对内皮细胞分泌功能影响的检测方法[P]. 江苏：CN106701886A,2017-05-24.

[300]苏莉,卢昂. 一种用于检测Sipa1基因启动子甲基化水平的方法[P]. 湖北：CN106701913A,2017-05-24.

[301]王军,郭鑫武,陈明,罗喜鹏,彭厘旻,戴立忠. 乳腺癌易感基因BRCA1和BRCA2检测试剂盒及方法[P]. 湖南：CN106701936A,2017-05-24.

[302]艾维克雷亚·里安尼多,阿西娜·马克. 测定样品中PIK3CA突变状态的方法[P]. 希腊：CN106715723A,2017-05-24.

[303]王秋虎,丁前江. 用于乳腺癌CT淋巴显像前哨淋巴结体表定位的贴膜[P]. 江苏：CN206183387U,2017-05-24.

[304]奥斯丁·格尼,颜婉清. 用于治疗癌症的组合治疗[P]. 美国：CN106714822A,2017-05-24.

[305]颜婷婷,朱月艳,孙子奎. 一种用于乳腺癌易感基因BRCA1和BRCA2突变检测的杂交捕获试剂盒及其方法[P]. 上海：CN106676169A,2017-05-17.

[306]A·R·曼科维赫,N·迪米特罗娃,V·阿格拉瓦尔,N·班纳吉. 用于对基因表达数据进行可视化的方法和系统[P]. 荷兰：CN106687968A,2017-05-17.

[307]王学礼,王桂芳,赵萍. 回族中药蟾蜍乳腺癌清片及其制备方法[P]. 宁夏：CN106668713A,2017-05-17.

[308]J·格罗根,Y·肖,P·卡普拉斯,S·连诺格罗,J·哈克尼,E·Y-C·蒋. 使用PD#1轴结合拮抗剂和IL#17结合拮抗剂治疗癌症的方法[P]. 瑞士：CN106687135A,2017-05-17.

[309]王学礼,王桂芳,赵萍. 回族中药全蝎乳腺散癌丸及其制备方法[P]. 宁夏：CN106668351A,2017-05-17.

[310]王学礼,王桂芳,赵萍. 回族中药全蝎乳腺散癌颗粒及其制备方法[P]. 宁夏：CN106668353A,2017-05-17.

[311]杨超,高云雷,其他发明人请求不公开姓名. 一种从乳腺癌细胞株中富集乳腺癌干细胞的试剂、试剂盒[P]. 江苏：CN106635997A,2017-05-10.

[312]不公告发明人. 抗体调控的双抗原特异性T细胞及其制备方法和应用[P]. 广东：CN106635998A,2017-05-10.

[313]F·亚尔-埃杰. 确定癌症侵袭性、预后和治疗响应[P]. 澳大利亚：CN106661614A,2017-05-10.

[314]Z·莫德鲁桑,S·塞沙基里,B·雅瑟瓦尔,N·张,S·杜林克,E·斯塔维斯基. MIT生物标志物和使用它们的方法[P]. 瑞士：CN106661622A,2017-05-10.

[315]张卫国,加里·卡彭,毛建华. 用于癌症诊断、预后和治疗选择的着丝粒/动粒蛋白基因[P]. 美国：CN106661624A,2017-05-10.

[316]刘苏燕,吴诗扬,董艳. 乳腺癌相关microRNA检测试剂盒[P]. 广东：CN106636314A,2017-05-10.

[317]付利,何劲松,谭斌斌. 一种与乳腺癌相关的SNP标记及其应用[P]. 广东：CN106636351A,2017-05-10.

[318]李丽琴,李静,平金良,黄惠莲,钟婧,戴利成. HER#2阳性乳腺癌组织的标志物miR#126#3p、应用及其诊断试剂盒[P]. 浙江：CN106636375A,2017-05-10.

[319]王军,郭鑫武,彭厘旻,戴立忠. 用于预测乳腺癌的生物标记物组合、试剂盒及使用方法[P]. 湖南：CN106636430A,2017-05-10.

[320]朱奇,朱瑞娟,关媛妹,罗李江,刘丽. 基于高通量测序技术检测乳腺癌/卵巢癌易感基因的多重PCR特异性引物、试剂盒及方法[P]. 广东：CN106636431A,2017-05-10.

[321]V·谢哈比,A·瓦勒查,P·C·马西亚格,Y·佩特森,N·梅森,M·西维. 用于治疗HER2/NEU过表达肿瘤的组合物和方法[P]. 美国：CN106661538A,2017-05-10.

[322]唐纳德·拉奥,约翰·内穆奈蒂斯,贝尔特·W·奥马利,大卫·洛纳尔德. 用于癌症治疗的多靶向RNAi[P]. 美国：CN106661576A,2017-05-10.

[323]M·R·赫伯特,N·D·史密斯. 雌激素受体调节剂的结晶形式[P]. 瑞士：CN106660969A,2017-05-10.

[324]刘白,P·罗德,W·徐,H·C·黄. 基于IL#15的分子及其方法和用途[P]. 美国：CN106659775A,2017-05-10.

[325]R·M·尼夫,N·A·东佩,T·R·威尔森,J·赛特曼. 治疗和预防癌症耐药性的方法[P]. 美国：CN106659788A,2017-05-10.

[326]S.J.戴拉,O.富尔德,R.A.斯图尔,W.C.安德森,S.奥施马. 新型调节剂及使用方法[P]. 美国：CN106620693A,2017-05-10.

[327]A·卡利法诺,M·班索,Y·希莫尼. 用于使用网络失调鉴定药物作用机制的方法和系统[P]. 美国：CN106662567A,2017-05-10.

[328]任平达,刘异,卡塔洋·杰森,昕·郭,C·罗梅尔,T·E·威尔森. 激酶抑制剂的组合及其用途[P]. 美国：CN106619647A,2017-05-10.

[329]阎锡蕴,冯静. CD146及其抗体在治疗三阴性乳腺癌方面的应用[P]. 北京：CN106606777A,2017-05-03.

[330]朱文赫,王会岩,李亚巍,张巍,许娜. 人ADAM15去整合素区域蛋白的制备方法与应用[P]. 吉林：CN106591266A,2017-04-26.

[331]赵兴绪,武小虎,张全伟,马友记,张勇. 重组金黄色葡萄球菌ClfA蛋白疫苗及其真核表达工程细胞系的构建方法[P]. 甘肃：CN106591327A,2017-04-26.

[332]方仪,王靖,王翔,杨淑伟,焦少灼,马兴勇,易春根. 基于连接反应的多重靶向检测核酸指标的方法[P]. 北京：CN106591425A,2017-04-26.

